year,state,state_po,county_name,county_fips,Total Votes,Republican,Democrat,Repub_%,Dem_%,Majority
2020,GEORGIA,GA,PUTNAM,13237,11855,8291,3448,0.69937,0.29085,Republican
2020,GEORGIA,GA,QUITMAN,13239,1106,604,497,0.54611,0.44937,Republican
2020,GEORGIA,GA,RABUN,13241,9568,7474,1984,0.78115,0.20736,Republican
2020,GEORGIA,GA,RANDOLPH,13243,3074,1391,1671,0.4525,0.54359,Democrat
2020,GEORGIA,GA,RICHMOND,13245,87016,26781,59124,0.30777,0.67946,Democrat
2020,GEORGIA,GA,ROCKDALE,13247,44686,13012,31244,0.29119,0.69919,Democrat
2020,GEORGIA,GA,SCHLEY,13249,2275,1800,462,0.79121,0.20308,Republican
2020,GEORGIA,GA,SCREVEN,13251,6628,3916,2661,0.59083,0.40148,Republican
2020,GEORGIA,GA,SEMINOLE,13253,3884,2611,1254,0.67225,0.32286,Republican
2020,GEORGIA,GA,SPALDING,13255,30116,18057,11784,0.59958,0.39129,Republican
2020,GEORGIA,GA,STEPHENS,13257,11885,9368,2385,0.78822,0.20067,Republican
2020,GEORGIA,GA,STEWART,13259,1990,801,1182,0.40251,0.59397,Democrat
2020,GEORGIA,GA,SUMTER,13261,12150,5732,6318,0.47177,0.52,Democrat
2020,GEORGIA,GA,TALBOT,13263,3522,1392,2114,0.39523,0.60023,Democrat
2020,GEORGIA,GA,TALIAFERRO,13265,928,360,561,0.38793,0.60453,Democrat
2020,GEORGIA,GA,TATTNALL,13267,8183,6053,2061,0.7397,0.25186,Republican
2020,GEORGIA,GA,TAYLOR,13269,3839,2418,1387,0.62985,0.36129,Republican
2020,GEORGIA,GA,TELFAIR,13271,4333,2825,1487,0.65197,0.34318,Republican
2020,GEORGIA,GA,TERRELL,13273,4416,2004,2376,0.4538,0.53804,Democrat
2020,GEORGIA,GA,THOMAS,13275,21853,12954,8708,0.59278,0.39848,Republican
2020,GEORGIA,GA,TIFT,13277,16283,10784,5322,0.66229,0.32684,Republican
2020,GEORGIA,GA,TOOMBS,13279,10914,7872,2939,0.72128,0.26929,Republican
2020,GEORGIA,GA,TOWNS,13281,7979,6384,1550,0.8001,0.19426,Republican
2020,GEORGIA,GA,TREUTLEN,13283,3077,2101,952,0.68281,0.30939,Republican
