"X1","X2","muhat","Vhat","X1_2","X2_2","X1_ln","X2_ln","X1_sqrt","X2_sqrt","X1_e","X2_e"
0,0,20.315555719299,97.6761652047938,0,0,0,0,0,0,1,1
0,0.01,21.11545602907,112.681665357468,0,1e-04,0,0.00995033085316809,0,0.1,1,1.01005016708417
0,0.02,20.5587191691145,94.5425374745466,0,4e-04,0,0.0198026272961797,0,0.14142135623731,1,1.02020134002676
0,0.03,19.164956986117,81.5502685019253,0,9e-04,0,0.0295588022415444,0,0.173205080756888,1,1.03045453395352
0,0.04,20.0519262978095,99.8691653608668,0,0.0016,0,0.0392207131532813,0,0.2,1,1.04081077419239
0,0.05,19.804066985635,99.1621809441399,0,0.0025,0,0.048790164169432,0,0.223606797749979,1,1.05127109637602
0,0.06,21.1696972673515,136.4327908033,0,0.0036,0,0.0582689081239758,0,0.244948974278318,1,1.06183654654536
0,0.07,20.2849342090925,81.0185921666742,0,0.0049,0,0.0676586484738149,0,0.264575131106459,1,1.07250818125422
0,0.08,20.573030261626,94.9055098935008,0,0.0064,0,0.0769610411361284,0,0.282842712474619,1,1.08328706767496
0,0.09,21.1371531307125,109.06698373504,0,0.0081,0,0.0861776962410524,0,0.3,1,1.09417428370521
0,0.1,19.977569958719,104.211182153617,0,0.01,0,0.0953101798043249,0,0.316227766016838,1,1.10517091807565
0,0.11,20.9232376147635,95.7677871397808,0,0.0121,0,0.104360015324243,0,0.33166247903554,1,1.11627807045887
0,0.12,20.767162628988,119.781342657538,0,0.0144,0,0.113328685307003,0,0.346410161513775,1,1.12749685157938
0,0.13,20.532857878867,108.111457152176,0,0.0169,0,0.122217632724249,0,0.360555127546399,1,1.13882838332462
0,0.14,20.615399888462,100.843712506172,0,0.0196,0,0.131028262406404,0,0.374165738677394,1,1.15027379885723
0,0.15,21.262307613736,101.190922580248,0,0.0225,0,0.139761942375159,0,0.387298334620742,1,1.16183424272828
0,0.16,21.154926612867,89.0382545897705,0,0.0256,0,0.148420005118273,0,0.4,1,1.17351087099181
0,0.17,19.424026045224,75.2108165472699,0,0.0289,0,0.157003748809665,0,0.412310562561766,1,1.18530485132037
0,0.18,20.374251677674,71.2987543750834,0,0.0324,0,0.165514438477573,0,0.424264068711929,1,1.19721736312181
0,0.19,21.0196539392055,118.302642519328,0,0.0361,0,0.173953307123438,0,0.435889894354067,1,1.20924959765725
0,0.2,20.5087212195615,85.7038789602769,0,0.04,0,0.182321556793955,0,0.447213595499958,1,1.22140275816017
0,0.21,21.065771585815,90.0245974002777,0,0.0441,0,0.19062035960865,0,0.458257569495584,1,1.23367805995674
0,0.22,19.780442627027,85.1085660560537,0,0.0484,0,0.198850858745165,0,0.469041575982343,1,1.24607673058738
0,0.23,20.7184138947905,103.995868342737,0,0.0529,0,0.207014169384326,0,0.479583152331272,1,1.25860000992948
0,0.24,19.751156879022,87.2944269111948,0,0.0576,0,0.215111379616945,0,0.489897948556636,1,1.2712491503214
0,0.25,20.8452073906405,103.548766056859,0,0.0625,0,0.22314355131421,0,0.5,1,1.28402541668774
0,0.26,21.4770951017905,137.167017484508,0,0.0676,0,0.231111720963387,0,0.509901951359279,1,1.29693008666577
0,0.27,20.0318288968105,94.1524963606928,0,0.0729,0,0.2390169004705,0,0.519615242270663,1,1.30996445073325
0,0.28,20.2202850515525,106.593822978361,0,0.0784,0,0.246860077931526,0,0.529150262212918,1,1.32312981233744
0,0.29,19.6784374428885,83.0719024834965,0,0.0841,0,0.254642218373581,0,0.53851648071345,1,1.33642748802547
0,0.3,20.646925575245,95.5509417076355,0,0.09,0,0.262364264467491,0,0.547722557505166,1,1.349858807576
0,0.31,20.0541105997445,88.5542029451002,0,0.0961,0,0.27002713721306,0,0.556776436283002,1,1.36342511413218
0,0.32,19.146679918849,83.8032087280174,0,0.1024,0,0.27763173659828,0,0.565685424949238,1,1.37712776433596
0,0.33,19.67431251563,80.2526261088045,0,0.1089,0,0.285178942233662,0,0.574456264653803,1,1.39096812846378
0,0.34,20.716566435977,109.734282870686,0,0.1156,0,0.29266961396282,0,0.58309518948453,1,1.40494759056359
0,0.35,19.3722242294005,89.3947208792827,0,0.1225,0,0.300104592450338,0,0.591607978309962,1,1.41906754859326
0,0.36,19.5723550413645,106.851018893238,0,0.1296,0,0.307484699747961,0,0.6,1,1.43332941456034
0,0.37,18.815622822172,61.2030925654736,0,0.1369,0,0.314810739840034,0,0.608276253029822,1,1.44773461466332
0,0.38,19.1978125389515,75.550338191827,0,0.1444,0,0.322083499169113,0,0.616441400296898,1,1.46228458943422
0,0.39,19.581383895641,92.6107977032728,0,0.1521,0,0.3293037471426,0,0.62449979983984,1,1.47698079388264
0,0.4,18.8012625298705,63.6735593488669,0,0.16,0,0.336472236621213,0,0.632455532033676,1,1.49182469764127
0,0.41,19.709063400147,87.6040090044349,0,0.1681,0,0.343589704390077,0,0.640312423743285,1,1.50681778511285
0,0.42,18.6176310745795,72.5959364391229,0,0.1764,0,0.350656871613169,0,0.648074069840786,1,1.52196155561863
0,0.43,19.329560941317,106.906301600197,0,0.1849,0,0.357674444271816,0,0.6557438524302,1,1.53725752354828
0,0.44,18.478294904185,66.832793311536,0,0.1936,0,0.364643113587909,0,0.66332495807108,1,1.55270721851134
0,0.45,18.646878861391,59.9268035370064,0,0.2025,0,0.371563556432483,0,0.670820393249937,1,1.56831218549017
0,0.46,19.8702635508005,76.2155972969143,0,0.2116,0,0.378436435720245,0,0.678232998312527,1,1.58407398499448
